adoption,adoptionDegree,authors,docId,docLabel,docTitle,docType,group,href,implementationDate,keywords,leadingunit,participationUnits,publicationDate,publisher,status.active,workInfo.review,status.stabilized,status.stabilizedDate,status.superseded,status.supersededBy,status.withdrawn,references.normative,status.statusNote,references.bibliographic,docElement,docNumber,docPart,repo,doi,relatedDocs,status.reaffirmDate,status.reaffirmed,status.unknown,status.draft,status.publicCd,status.amended,status.amendedDate,status.amendedBy,details
"[""iso4241-1987""]",等同采用（IDT）,"[""吴淑芝"",""孙延炜""]",gbt-2926-2000,GB/T 2926-2000,35mm和16mm电影发行拷贝片头和片尾的技术规格,国家标准,国家电影局,./pdf/GBT_2926-2000_35mm和16mm电影发行拷贝片头和片尾的技术规格.pdf,2001-03-01,"[""制作"",""胶片工艺""]",中国电影科学技术研究所,"[""中国电影科学技术研究所""]",2000-10-17,国家技术监督局,true,"[{""assignedGroup"":""全国广播电影电视标准化技术委员会（SAC/TC239/SC4）"",""reviewDate"":""2016-10-01"",""reviewPeriod"":""集中复审""}]",undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""iso4238-1976""]",参考采用（REF）,undefined,gbt-2927-1994,GB/T 2927-1994,电影影片画幅放大或缩小光学印片比率技术要求,国家标准,国家电影局,./pdf/GBT_2927-1994_电影影片画幅放大或缩小光学印片比率技术要求.pdf,1995-08-01,"[""胶片工艺""]",中国电影科学技术研究所,"[""中国电影科学技术研究所""]",1994-12-28,国家技术监督局,true,"[{""assignedGroup"":""全国广播电影电视标准化技术委员会（SAC/TC239/SC4）"",""reviewDate"":""2016-10-01"",""reviewPeriod"":""集中复审""}]",undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,iso4238-1976,ISO 4238:1976,Cinematography — Optical printing ratios for enlargement and reduction of motion-picture film images — Specifications,国际标准,iso-tc36-tc,https://www.iso.org/standard/10038.html,undefined,undefined,undefined,undefined,undefined,ISO,true,null,true,1981-12-01,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,gbt-3557-1994,GB/T 3557-1994,电影院视听环境技术要求,国家标准,国家电影局,./pdf/GBT_3557-1994_电影院视听环境技术要求.pdf,1995-08-01,"[""测量"",""检测能力""]",中国电影科学技术研究所,"[""中国电影科学技术研究所""]",1994-12-28,国家技术监督局,true,"[{""assignedGroup"":""全国广播电影电视标准化技术委员会（SAC/TC239/SC4）"",""reviewDate"":""2016-10-01"",""reviewPeriod"":""集中复审""}]",undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""iso2906-1984""]",等效采用（EQV）,"[""孙延炜""]",gbt-4635-2000,GB/T 4635-2000,35mm电影摄影机片窗在胶片上形成的画面的位置和尺寸,国家标准,国家电影局,./pdf/GBT_4635-2000_35mm电影摄影机片窗在胶片上形成的画面的位置和尺寸.pdf,2001-03-01,"[""胶片工艺""]",中国电影科学技术研究所,"[""中国电影科学技术研究所""]",2000-10-17,国家质量技术监督局,true,"[{""assignedGroup"":""全国广播电影电视标准化技术委员会（SAC/TC239/SC4）"",""reviewDate"":""2016-10-01"",""reviewPeriod"":""集中复审""}]",undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,iso2906-1984,ISO 2906:84,Cinematography — Image area produced by camera aperture on 35 mm motion-picture film — Position and dimensions,国际标准,iso-tc36-tc,undefined,undefined,undefined,undefined,undefined,undefined,ISO,false,null,undefined,undefined,true,"[""iso2906-2002""]",undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""iso2907-1984""]",等效采用（EQV）,"[""孙延炜""]",gbt-4636-2000,GB/T 4636-2000,35mm影片上最大可放映画面的位置和尺寸,国家标准,国家电影局,./pdf/GBT_4636-2000_35mm影片上最大可放映画面的位置和尺寸.pdf,2001-03-01,"[""胶片工艺""]",中国电影科学技术研究所,"[""中国电影科学技术研究所""]",2000-10-17,国家质量技术监督局,true,"[{""assignedGroup"":""全国广播电影电视标准化技术委员会（SAC/TC239/SC4）"",""reviewDate"":""2016-10-01"",""reviewPeriod"":""集中复审""}]",undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,iso2907-1984,ISO 2907:84,Cinematography — Maximum projectable image area on 35 mm motion-picture film — Position and dimensions,国际标准,iso-tc36-tc,undefined,undefined,undefined,undefined,undefined,undefined,ISO,false,null,undefined,undefined,true,"[""iso2907-2002""]",undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""iso162-1985""]",等效采用（EQV）,undefined,gbt-4637-1994,GB/T 4637-1994,35mm磁片上三声轨、四声轨和六声轨磁头隙缝的位置和宽度尺寸,国家标准,国家电影局,./pdf/GBT_4637-1994_35mm磁片上三声轨、四声轨和六声轨磁头隙缝的位置和宽度尺寸.pdf,1995-08-01,"[""胶片工艺""]",中国电影科学技术研究所,"[""中国电影科学技术研究所""]",1994-12-28,国家技术监督局,true,"[{""assignedGroup"":""全国广播电影电视标准化技术委员会（SAC/TC239/SC4）"",""reviewDate"":""2016-10-01"",""reviewPeriod"":""集中复审""}]",undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,iso162-1985,ISO 162:1985,"Cinematography — Head gaps and sound records for three-, four-, or six-track magnetic sound records on 35 mm and single-track on 17,5 mm motion-picture film containing no picture — Positions and width dimensions",国际标准,iso-tc36-tc,https://www.iso.org/standard/3996.html,undefined,undefined,undefined,undefined,undefined,ISO,true,null,true,1990-12-01,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
